battery,model,optimizer,test_RMSE_mean,test_RMSE_std,test_RMSE_min,test_RMSE_max,test_MAE_mean,test_R2_mean,test_MAPE_mean,hpo_time_mean,hpo_time_std,training_time_mean,training_time_std,model_size_mb_mean,model_size_mb_std,inference_ms_mean,hpo_ram_mean,train_ram_mean,n_runs,RMSE_CI_lower,RMSE_CI_upper,RandomSearch_RMSE,RMSE_Improvement_vs_RandomSearch_pct,Pareto_Optimal
B0006,LightGBM,Bayesian,0.04520301997055184,0.0034253541821225274,0.0394931248572295,0.052789613329307865,0.04037915305945434,-5.022651279296522,6.960946175383905,123.12245813999326,81.27978600202057,0.08017062996514142,0.04842300141421991,0.47710118293762205,0.3594268564790058,0.5205624969676137,253.9193359375,0.4634765625,20,0.04370179231009696,0.046704247631006716,0.053489161776513375,15.491253799381672,False
B0006,LightGBM,GA,0.052428867274566825,0.004088767501162541,0.043502689968072134,0.05999859305969749,0.04905016417278693,-7.104629675395872,8.42443947487176,1.9122304250020534,0.7920916528917262,0.03459240498486906,0.013095817870939495,0.14088377952575684,0.07684646279368695,0.4404399776831269,1.0978515625,0.0166015625,20,0.050636885907515715,0.054220848641617934,0.053489161776513375,1.9822604556351755,False
B0006,LightGBM,GWO,0.04750783287444269,0.003022549886150363,0.04168892166280779,0.05170444421185947,0.04361349655870204,-5.6418248616307904,7.502452374047666,3.3425347949378192,2.820436591436638,0.06060998006723821,0.030964952809649112,0.2850323677062988,0.21471622925676243,0.5292975227348506,1.2962890625,0.06640625,20,0.04618314198032267,0.048832523768562716,0.053489161776513375,11.182319377263138,True
B0006,LightGBM,PSO,0.044421324730249324,0.002049431041305259,0.040195538549361164,0.04885494431250979,0.039736363833446676,-4.796294896576649,6.850508802103617,3.3912496350239962,1.9473927408846057,0.05908004506491125,0.03300851847292632,0.36421980857849123,0.23269012249863502,0.44990243623033166,1.54609375,0.187890625,20,0.0435231219740322,0.045319527486466435,0.053489161776513375,16.95266245552881,True
B0006,LightGBM,RandomSearch,0.053489161776513375,0.0030773783492361326,0.0482310226930019,0.05994676216857954,0.05043991303011983,-7.413665448173335,8.657700791501517,1.5812883750302718,0.9456139214658111,0.03518863504286855,0.017005757356635506,0.12595725059509277,0.06889144325443727,0.5015474860556424,1.132421875,0.1171875,20,0.05214044124896327,0.05483788230406348,0.053489161776513375,0.0,True
B0006,LightGBM,WOA,0.049447866294406326,0.007447637326777051,0.0434077178283224,0.07295309435430535,0.045383673635170145,-6.322262219006687,7.806518893877142,2.9172776750288905,3.976778005715372,0.04931569998152554,0.07092326909414685,0.20219902992248534,0.244423273641414,0.48745754174888134,1.2927734375,0.305859375,20,0.04618379532085642,0.052711937267956234,0.053489161776513375,7.555353921963209,True
B0006,RandomForest,Bayesian,0.04109523799539352,0.0008389441273699881,0.03996341414106089,0.04295056335542692,0.03634180209436927,-3.952734676781803,6.2699564824205805,85.90620572494808,26.044283868216432,0.2376973249949515,0.17195806194485597,2.3794748306274416,1.9216862543111835,11.489130009431392,178.10234375,0.1763671875,20,0.0407275545201613,0.04146292147062573,0.04115010672869946,0.1333380097108619,False
B0006,RandomForest,GA,0.042113236268031914,0.0011164136093952813,0.04009978018481076,0.044294273783564334,0.037652387793423184,-4.202561671783698,6.491022796513154,28.32853286496829,9.475665144544944,0.29531101495958867,0.15503543244755244,1.2214471817016601,0.7497599459177205,14.911969972308725,0.1625,0.019921875,20,0.041623946430595624,0.042602526105468205,0.04115010672869946,-2.3405274394118036,False
B0006,RandomForest,GWO,0.04132838181054899,0.0011696230108780216,0.03995816007269468,0.04474994826181033,0.036517620590478354,-4.010917769454627,6.300492385026937,28.219705595006236,9.660714588864627,0.26922566497232764,0.17579741527132756,2.2860589981079102,1.640887265407032,12.344070035032928,0.9966796875,0.014453125,20,0.04081577192471624,0.04184099169638176,0.04115010672869946,-0.43323115301958054,False
B0006,RandomForest,PSO,0.04107753805951405,0.00102085158219792,0.03932892148271431,0.043195765067365985,0.0363984399677087,-3.9494131162034103,6.278842267543534,32.274474999983795,12.029342797568798,0.36700517500285057,0.15108261708297963,3.343673896789551,1.8479550409997243,17.29745747288689,0.9484375,0.0205078125,20,0.040630130127098436,0.04152494599192968,0.04115010672869946,0.17635110806358778,False
