run_id,battery,model,optimizer,test_RMSE,test_MAE,test_R2,test_MAPE,training_time,hpo_time,model_size_mb,inference_ms_per_sample,train_peak_ram_abs_mb,train_peak_ram_delta_mb,hpo_peak_ram_abs_mb,hpo_peak_ram_delta_mb
2,B0006,RandomForest,WOA,0.042123468352496515,0.0373369618085997,-4.201617308140104,6.44096204955181,0.2012686999514699,31.34342059958726,1.358689308166504,12.10060017183423,3115.453125,0.00390625,3115.45703125,0.0234375
2,B0006,XGBoost,Bayesian,0.04120075028246779,0.037428494463615715,-3.9762294963938016,6.444414055777986,0.04034299962222576,70.41044030012563,0.05624103546142578,0.2588501665741205,3355.75,0.01953125,3395.0859375,279.53515625
2,B0006,XGBoost,RandomSearch,0.09353713121839234,0.09163684647918435,-24.648279844008144,15.659716423189188,0.031222000252455473,4.28368049999699,0.15365219116210938,0.15545007772743702,3355.76953125,0.01953125,3356.03515625,0.30078125
2,B0006,XGBoost,PSO,0.03399530263387823,0.028499037807819958,-2.38787965655527,4.9369574682607675,0.09258759999647737,6.448862299788743,0.3578662872314453,0.17265020869672298,3359.09765625,3.15234375,3363.62109375,7.8671875
2,B0006,XGBoost,GA,0.037961184425327976,0.03311841611780343,-3.2244450013200536,5.721829039390232,0.4002640997059643,21.356872899923474,0.634735107421875,0.282500172033906,3359.84765625,2.95703125,3367.921875,11.9765625
2,B0006,XGBoost,GWO,0.06697917906163481,0.06465680172911747,-12.151333532722132,11.072118506210899,0.07811430003494024,4.38887820020318,0.19649124145507812,0.27914997190237045,3356.921875,0.00390625,3357.2109375,0.30859375
2,B0006,XGBoost,WOA,0.0381073152229258,0.03348540191568551,-3.257031429275231,5.780486296900402,0.08832310000434518,5.618304100353271,0.3731870651245117,0.2576000988483429,3357.421875,0.01953125,3364.42578125,7.5234375
2,B0006,LightGBM,Bayesian,0.03973327685779483,0.034003428853979355,-3.628059336140998,5.8803782591796825,0.07113229995593429,81.06442640023306,0.511540412902832,0.5137501284480095,3654.94921875,0.01953125,3697.453125,340.05078125
2,B0006,LightGBM,RandomSearch,0.05491466470488981,0.05178075038245582,-7.840296353105588,8.886460844682599,0.03117770003154874,1.211449499707669,0.09848403930664062,0.5264999344944954,3655.21484375,0.00390625,3656.21875,1.2890625
2,B0006,LightGBM,PSO,0.04303835722273141,0.038039474651595746,-4.4300211783639485,6.563960560760454,0.04369580000638962,2.253179400227964,0.23549365997314453,0.53759990260005,3655.7109375,0.01953125,3656.71484375,1.51953125
2,B0006,LightGBM,GA,0.05369094242647741,0.050372124211911874,-7.4506906854671175,8.6494494420422,0.0492336000315845,2.127647999674082,0.20480632781982422,0.34244987182319164,3655.7265625,0.01953125,3656.73046875,1.0390625
2,B0006,LightGBM,GWO,0.05170444421185947,0.04923069894543714,-6.836928776345823,8.442230150374527,0.0256397002376616,1.2249288000166416,0.06662178039550781,0.5062001291662455,3655.7265625,0.00390625,3656.73046875,1.0234375
2,B0006,LightGBM,WOA,0.0457716873733285,0.04138043316281674,-5.141634929434371,7.1303364161432095,0.01891270000487566,1.2353066001087427,0.07372474670410156,0.6355498917400837,3655.8203125,0.01953125,3656.82421875,1.1171875
2,B0018,RandomForest,Bayesian,0.011902285222340693,0.011011202319617535,-0.29095491432091003,1.609723864724118,0.4677275000140071,72.51229829993099,4.959275245666504,26.80895011872053,3828.54296875,2.21875,3862.0078125,206.20703125
2,B0018,RandomForest,RandomSearch,0.011790379195320772,0.010736266159926466,-0.2667937561255349,1.5705395701868359,0.5945112998597324,24.963183999992907,4.666626930236816,27.270950144156814,3828.2734375,0.03515625,3828.2421875,0.28125
2,B0018,RandomForest,PSO,0.01165928796138286,0.01054676598384704,-0.2387806863780766,1.54360229399376,0.0631025000475347,11.355124699883163,0.2131357192993164,2.9969001188874245,3828.58984375,0.01953125,3828.58984375,0.01953125
2,B0018,RandomForest,GA,0.0117772718468294,0.010848279448995047,-0.2639787359365404,1.5863243998646464,0.04382830020040274,18.509056800045073,0.1439676284790039,2.9733499977737665,3828.59375,0.01953125,3828.59375,0.0234375
2,B0018,RandomForest,GWO,0.012238487610580608,0.011322310445196543,-0.36491583895093593,1.655365623050809,0.4373444998636842,36.63850800041109,4.567612648010254,24.277300108224154,3828.63671875,0.04296875,3828.59765625,0.0234375
2,B0018,RandomForest,WOA,0.012648718957283017,0.011752405768934309,-0.45795276732566514,1.7177916608994135,0.08992619998753071,15.78645889973268,0.3667154312133789,5.205299938097596,3828.63671875,0.00390625,3828.63671875,0.01953125
